"","mRNA_wt_rep1","mRNA_wt_rep2","mRNA_mt_rep1","mRNA_mt_rep2","Ribo_wt_rep1","Ribo_wt_rep2","Ribo_mt_rep1","Ribo_mt_rep2","gene_length"
"YNL275W",280,171,173,114,189,177,55,71,1671
"YNL273W",586,378,186,149,482,371,89,54,3657
"YNL268W",2854,1975,1747,1273,5293,4897,1437,1145,1776
"YNL267W",1226,908,665,590,1281,1154,536,477,3141
"YNL262W",1634,1004,658,453,1266,1041,267,184,6609
"YNL261W",854,558,717,530,933,895,553,501,1380
"YNL256W",919,607,455,329,869,755,235,179,2415
"YNL253W",442,315,284,196,731,822,260,241,1209
"YNL250W",784,645,494,342,589,548,183,137,3879
"YNL247W",2310,1443,734,584,4464,3924,1077,828,2244
"YNL246W",426,369,295,254,1088,1050,605,651,830
"YNL243W",2840,2099,1326,1352,9092,8189,1876,1775,2847
"YNL242W",889,741,422,438,1141,1175,225,276,4719
"YNL239W",2114,1317,529,472,7833,7997,1058,922,1305
"YNL238W",1498,908,685,584,1541,1408,585,482,2385
"YNL237W",366,297,385,377,809,869,420,539,1320
"YNL236W",1419,949,789,645,1118,1315,470,386,2865
"YNL234W",438,272,210,209,531,505,156,255,1221
"YNL233W",850,558,343,304,1680,1532,418,434,2619
"YNL232W",490,366,282,259,1379,1274,575,562,819
"YNL228W",4,6,9,4,5,7,3,1,717
"YNL226W",0,0,0,0,0,1,0,1,351
"YNL223W",251,219,226,205,423,362,257,293,1425
"YNL222W",627,440,398,245,1527,1374,461,451,561
"YNL220W",1861,1366,949,772,4263,3991,1355,1270,1242
"YNL218W",464,358,152,132,737,727,107,83,1704
"YNL217W",383,253,136,86,277,262,60,60,921
"YNL216W",1425,1007,590,400,4640,3994,842,677,2424
"YNL215W",292,254,220,220,1640,1597,656,781,903
"YNL214W",249,183,183,127,486,461,218,277,540
"YNL212W",1207,805,718,569,2142,1967,547,646,2289
"YNL209W",17974,10529,7907,6184,61691,44283,18593,12705,1782
"YNL208W",1750,1680,1317,1120,25956,19713,8421,8356,540
"YNL207W",680,476,416,309,1719,1529,609,546,1218
"YNL202W",92,52,12,12,295,303,25,35,819
"YNL193W",337,219,127,159,685,719,232,312,1617
"YNL192W",2553,1863,2357,1841,2940,2806,1213,1223,3336
"YNL191W",265,159,176,136,572,527,384,435,1014
"YNL190W",6032,4068,4163,2860,9663,8847,6498,6106,555
"YNL189W",2520,1764,1243,1050,7874,7138,1957,1744,1569
"YNL188W",220,210,193,125,279,306,151,171,1242
"YNL187W",208,114,83,88,71,46,23,30,1014
"YNL186W",1445,998,966,856,1680,1496,847,814,2319
"YNL181W",469,364,231,185,1298,1169,258,273,1164
"YNL178W",12168,7206,12790,9989,42473,34553,32096,27930,663
"YNL172W",1341,804,590,418,544,497,167,122,5187
"YNL165W",352,182,171,141,454,475,198,226,1161
"YNL162W-A",191,96,122,77,184,196,137,131,159
"YNL162W",6231,4106,5322,3779,40406,35555,24421,22413,773
"YNL161W",1241,835,543,521,2598,2478,609,667,2211
"YNL160W",12369,8277,5922,5473,62164,60719,17267,21100,1005
"YNL158W",348,195,169,178,900,894,532,523,537
"YNL157W",646,491,623,563,2630,2555,1245,1637,447
"YNL155W",1344,1019,604,443,5545,5741,932,956,765
"YNL152W",456,348,222,198,748,841,259,241,1170
"YNL147W",420,317,282,189,2160,2311,632,639,384
"YNL146W",67,36,58,40,81,129,78,126,243
"YNL145W",3784,2745,5363,2831,6060,6715,7919,8666,57
"YNL142W",424,269,209,201,392,344,210,207,1440
"YNL141W",645,386,340,183,883,641,282,154,984
"YNL138W-A",197,106,111,84,480,455,263,263,320
"YNL138W",3173,2329,1404,1222,14151,13553,2924,2937,1521
"YNL136W",220,228,160,145,580,666,239,265,1218
"YNL132W",1577,992,734,501,2347,1831,677,374,3111
"YNL131W",2117,1494,934,533,6178,5601,1526,1311,399
"YNL129W",294,268,179,150,566,513,269,255,663
"YNL128W",123,77,64,44,91,86,34,61,1245
"YNL127W",865,649,546,413,784,666,239,240,2802
"YNL126W",804,503,363,185,557,457,164,131,2481
"YNL124W",274,183,166,120,463,420,175,114,1419
"YNL123W",2164,1516,1043,820,4168,4028,915,809,2934
"YNL119W",696,446,527,360,601,647,330,266,1422
"YNL117W",21,7,11,12,16,20,8,23,1605
"YNL116W",611,402,342,308,1909,1833,692,616,1509
"YNL113W",616,500,519,288,2723,2733,1087,1002,369
"YNL112W",1051,581,463,275,2073,1368,353,178,2583
"YNL109W",21,5,16,11,13,24,40,34,486
"YNL107W",279,247,226,187,784,872,292,334,621
"YNL103W-A",1,7,1,3,2,4,0,3,30
"YNL103W",1106,789,553,424,1542,1533,477,450,1959
"YNL102W",1392,857,339,247,2072,1537,224,170,4347
"YNL101W",1418,889,934,545,1118,1036,425,412,2082
"YNL100W",653,466,474,477,1542,1562,729,947,645
"YNL097W-A",1,2,3,0,0,1,4,0,96
"YNL094W",848,596,436,412,464,395,199,196,1704
"YNL093W",62,49,61,75,119,126,130,148,603
"YNL092W",184,158,95,179,279,329,110,196,1143
"YNL091W",1656,1189,912,875,1764,1846,701,665,3663
"YNL090W",741,475,441,306,861,793,536,510,519
"YNL088W",1688,1132,730,515,1678,1490,363,301,4227
"YNL087W",1164,712,404,315,1075,882,340,347,3477
"YNL086W",113,83,80,49,403,356,230,219,249
"YNL085W",4239,2763,1889,1132,4878,4569,1046,968,2433
"YNL083W",390,283,289,197,469,397,180,191,1425
"YNL082W",766,491,307,249,847,756,178,164,2562
"YNL078W",612,362,472,467,1134,1161,815,901,1164
"YNL077W",626,497,134,113,1922,1931,170,155,1527
"YNL076W",695,518,505,457,1087,1090,690,662,1695
"YNL075W",464,294,386,195,1455,1309,654,520,813
"YNL073W",771,549,255,245,998,838,155,169,1671
"YNL072W",153,79,41,29,580,445,154,110,864
"YNL071W",4093,2702,1432,1312,25552,22873,4975,4335,1389
"YNL070W",870,539,336,249,3404,3261,827,882,123
